,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
403,소장식물전,4.3,강서구,서울특별시 강서구 공항대로2길 36,카페 / 디저트,가격대 만원 미만,2022-07-06,맛있다,12,12.0,0.0,0.0
404,웜테이블,4.3,강서구,서울특별시 강서구 공항대로49길 5-17 1F,이탈리안,가격대 만원-2만원,2022-08-10,맛있다,17,14.0,2.0,1.0
405,배진수스시,4.3,강서구,서울특별시 강서구 마곡중앙6로 76-3 인터시티서울 1F,회 / 스시,가격대 만원-2만원,2022-07-07,맛있다,16,13.0,2.0,1.0
406,희희잇,4.3,강서구,서울특별시 강서구 마곡중앙4로 22 A동 117호,브런치 / 버거 / 샌드위치,가격대 만원-2만원,2022-06-01,맛있다,4,4.0,0.0,0.0
407,금고깃집,4.2,강서구,"서울특별시 강서구 마곡동로 61 109호, 203-205호",고기 요리,가격대 만원-2만원,2022-07-15,맛있다,27,20.0,5.0,2.0
408,마부자생삼겹살,4.2,강서구,서울특별시 강서구 마곡중앙5로 6 121호,고기 요리,가격대 만원-2만원,2022-07-14,맛있다,43,29.0,11.0,3.0
409,영양족발순대국,4.2,강서구,서울특별시 강서구 초록마을로2길 48,고기 요리,가격대 만원-2만원,2021-07-29,맛있다,50,42.0,8.0,0.0
410,쇼와,4.2,강서구,서울특별시 강서구 양천로47가길 43,회 / 스시,가격대 2만원-3만원,2022-05-22,별로,7,6.0,0.0,1.0
411,사이공윤다이,4.2,강서구,서울특별시 강서구 마곡중앙5로1길 20 218호,베트남 음식,가격대 만원 미만,2022-07-24,맛있다,12,12.0,0.0,0.0
412,코끼리탭룸,4.1,강서구,서울특별시 강서구 공항대로 195 힐스테이트에코동익 101동 1F 130호,치킨 / 호프 / 펍,가격대 만원-2만원,2022-06-22,맛있다,16,13.0,3.0,0.0
413,고양이똥,4.1,강서구,서울특별시 강서구 공항대로59가길 13,브런치 / 버거 / 샌드위치,가격대 만원-2만원,2022-07-24,괜찮다,35,26.0,5.0,4.0
414,주방문,4.1,강서구,서울특별시 강서구 마곡중앙로 171 207호,일반 주점,가격대 만원-2만원,2021-12-18,맛있다,6,6.0,0.0,0.0
415,떼헤브,4.1,강서구,서울특별시 강서구 마곡서로 175 102호,카페 / 디저트,가격대 만원 미만,2022-06-22,괜찮다,10,8.0,2.0,0.0
