,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
1152,봉평메밀촌,,도봉구, 서울특별시 도봉구 방학로 31-16 신일빌딩, 국수 / 면 요리, 만원 미만,2021-04-12,맛있다,4,4.0,0.0,0.0
1153,호세야오리바베큐,,도봉구, 서울특별시 도봉구 도봉로121가길 4, 닭 / 오리 요리, 2만원-3만원,2022-04-25,맛있다,3,3.0,0.0,0.0
1154,뚱가의정부부대찌개,,도봉구, 서울특별시 도봉구 도봉로 869, 탕 / 찌개 / 전골,0,0,0,2,2.0,0.0,0.0
1155,텐더크래커,,도봉구, 서울특별시 도봉구 마들로11가길 6-25 1F 104호, 닭 / 오리 요리, 만원 미만,2020-05-17,맛있다,2,2.0,0.0,0.0
1156,가마봉생고기,,도봉구, 서울특별시 도봉구 마들로18길 35, 고기 요리, 만원-2만원,2019-11-04,맛있다,2,2.0,0.0,0.0
1157,소통애,,도봉구, 서울특별시 도봉구 도봉로136가길 73 북한산한신휴플러스아파트상가 104동 104호, 고기 요리, 3만원-4만원,0,0,2,2.0,0.0,0.0
1158,멘부리,,도봉구, 서울특별시 도봉구 우이천로24길 40 1F, 라멘 / 소바 / 우동, 만원 미만,2021-12-14,괜찮다,2,1.0,1.0,0.0
1159,제일떡집,,도봉구, 서울특별시 도봉구 덕릉로57길 47, 베이커리,0,2022-05-14,맛있다,2,2.0,0.0,0.0
1160,베트남식당,,도봉구, 서울특별시 도봉구 도봉로112길 35 1F, 베트남 음식, 만원 미만,2021-12-04,맛있다,2,2.0,0.0,0.0
1161,향원,,도봉구, 서울특별시 도봉구 덕릉로59길 62, 정통 중식 / 일반 중식, 만원 미만,5 일 전,맛있다,2,2.0,0.0,0.0
1162,광해수산,,도봉구, 서울특별시 도봉구 노해로63가길 22, 해산물 요리, 만원-2만원,0,0,1,1.0,0.0,0.0
1163,마이요거트서울,4.7,도봉구, 서울특별시 도봉구 도봉로114길 60-5, 카페 / 디저트, 만원 미만,2021-07-13,맛있다,1,1.0,0.0,0.0
1164,와92닭,,도봉구, 서울특별시 도봉구 덕릉로57길 36 신창시장내,0,만원 미만,2022-05-05,맛있다,1,1.0,0.0,0.0
1165,도레미분식즉석떡볶이,,도봉구, 서울특별시 도봉구 삼양로144길 18, 기타 한식, 만원 미만,2022-05-04,맛있다,12,8.0,3.0,1.0
1166,조이키친,,도봉구, 서울특별시 도봉구 삼양로144길 3-8, 퓨전 한식, 만원 미만,2020-12-01,맛있다,5,2.0,3.0,0.0
1167,모람,,도봉구, 서울특별시 도봉구 삼양로144길 25-11, 한정식 / 백반 / 정통 한식, 만원 미만,2019-06-26,괜찮다,4,1.0,3.0,0.0
1168,세컨밀,,도봉구, 서울특별시 도봉구 노해로60길 9, 스테이크 / 바베큐, 만원-2만원,2018-07-07,맛있다,3,3.0,0.0,0.0
1169,방학동이야기,,도봉구, 서울특별시 도봉구 도봉로146길 40, 기타 한식, 만원 미만,2021-12-16,맛있다,2,1.0,1.0,0.0
1170,산과산사이커피로드,,도봉구, 서울특별시 도봉구 도봉로180가길 96 승리빌딩 4F, 카페 / 디저트, 만원 미만,2018-04-23,괜찮다,2,0.0,2.0,0.0
1171,행복김밥,,도봉구, 서울특별시 도봉구 해등로 128, 기타 한식, 만원 미만,2019-12-14,별로,2,1.0,0.0,1.0
1172,전라도옛맛손팥칼국수,,도봉구, 서울특별시 도봉구 도봉산4나길 11-5, 국수 / 면 요리, 만원 미만,0,0,2,2.0,0.0,0.0
