,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
452,신선한우촌,,중랑구,주소 서울특별시 중랑구 용마산로 707,음식 종류 고기 요리,가격대 4만원 이상,2021-06-01,맛있다,4,3.0,0.0,1.0
453,만다린진,,중랑구,주소 서울특별시 중랑구 봉화산로54길 6,음식 종류 정통 중식 / 일반 중식,가격대 만원 미만,2018-02-06,맛있다,3,3.0,0.0,0.0
454,망우찜쌈밥,,중랑구,주소 서울특별시 중랑구 용마공원로2길 12,음식 종류 한정식 / 백반 / 정통 한식,0,2021-02-12,맛있다,3,3.0,0.0,0.0
455,이주소곱창,,중랑구,주소 서울특별시 중랑구 봉우재로33길 34,음식 종류 고기 요리,가격대 만원-2만원,2020-08-01,맛있다,10,5.0,5.0,0.0
456,천외천,,중랑구,주소 서울특별시 중랑구 봉우재로33길 12,음식 종류 닭 / 오리 요리,가격대 2만원-3만원,2022-05-09,맛있다,4,2.0,1.0,1.0
457,메종드그릭,,중랑구,주소 서울특별시 중랑구 망우로60길 37 YMS캐슬 로비,음식 종류 카페 / 디저트,가격대 만원 미만,2022-07-10,괜찮다,4,3.0,1.0,0.0
458,디저트39,,중랑구,주소 서울특별시 중랑구 동일로 932 묵동자이아파트상가 201동 101호,음식 종류 카페 / 디저트,가격대 만원 미만,2017-01-12,괜찮다,3,0.0,3.0,0.0
459,육부단,,중랑구,주소 서울특별시 중랑구 신내로 225 1F,음식 종류 고기 요리,가격대 만원-2만원,2019-09-16,맛있다,5,4.0,1.0,0.0
460,카페레블,,중랑구,주소 서울특별시 중랑구 면목로49길 6,음식 종류 카페 / 디저트,가격대 만원 미만,2019-07-16,별로,5,2.0,2.0,1.0
461,커피꾼,,중랑구,주소 서울특별시 중랑구 면목로 305 성일빌딩,음식 종류 카페 / 디저트,가격대 만원 미만,2019-11-05,맛있다,4,4.0,0.0,0.0
462,소르르카페,,중랑구,주소 서울특별시 중랑구 망우로 414 2F,음식 종류 카페 / 디저트,가격대 만원 미만,2019-08-01,별로,4,2.0,1.0,1.0
463,봉추찜닭,,중랑구,주소 서울특별시 중랑구 면목로 326-1,음식 종류 닭 / 오리 요리,가격대 만원-2만원,0,0,1,1.0,0.0,0.0
464,제이쿠치나,,중랑구,주소 서울특별시 중랑구 망우로 353 엔터식스 상봉점 1F,음식 종류 이탈리안,가격대 만원-2만원,2020-01-09,괜찮다,7,1.0,5.0,1.0
465,Mr왕,,중랑구,주소 서울특별시 중랑구 신내로 225,음식 종류 정통 중식 / 일반 중식,가격대 만원 미만,2018-02-25,괜찮다,5,2.0,3.0,0.0
466,스시차이,,중랑구,주소 서울특별시 중랑구 신내로 225 디아뜨갤러리 151호,음식 종류 회 / 스시,가격대 만원-2만원,2018-02-11,괜찮다,4,2.0,2.0,0.0
467,로기스커피,,중랑구,주소 서울특별시 중랑구 겸재로 172-1,음식 종류 카페 / 디저트,가격대 만원 미만,2020-08-22,괜찮다,3,2.0,1.0,0.0
468,성창식당,,중랑구,주소 서울특별시 중랑구 면목로 421,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원 미만,2021-08-28,맛있다,2,1.0,1.0,0.0
469,돈생김,,중랑구,주소 서울특별시 중랑구 신내로10길 26 1F,음식 종류 고기 요리,가격대 만원-2만원,0,0,1,1.0,0.0,0.0
470,채선당,,중랑구,주소 서울특별시 중랑구 용마산로 623,음식 종류 탕 / 찌개 / 전골,가격대 만원-2만원,0,0,0,,,
471,진국설렁탕,,중랑구,주소 서울특별시 중랑구 용마산로115길 102,음식 종류 탕 / 찌개 / 전골,가격대 만원 미만,2022-07-30,맛있다,5,2.0,3.0,0.0
472,노브랜드버거,,중랑구,주소 서울특별시 중랑구 동일로 799 1-2F,음식 종류 브런치 / 버거 / 샌드위치,가격대 만원 미만,2020-07-15,맛있다,4,2.0,2.0,0.0
473,커피맬러드,,중랑구,주소 서울특별시 중랑구 중랑역로53길 3,음식 종류 카페 / 디저트,가격대 만원 미만,2020-01-04,괜찮다,2,1.0,1.0,0.0
474,립스트커피,,중랑구,주소 서울특별시 중랑구 동일로 932,음식 종류 카페 / 디저트,가격대 만원 미만,2022-03-01,별로,2,1.0,0.0,1.0
475,맛짱,,중랑구,주소 서울특별시 중랑구 중랑역로 116,음식 종류 닭 / 오리 요리,가격대 만원-2만원,0,0,1,1.0,0.0,0.0
476,채선당,,중랑구,주소 서울특별시 중랑구 동일로 942,음식 종류 탕 / 찌개 / 전골,가격대 만원-2만원,0,0,3,1.0,1.0,1.0
477,아롬오네뜨,,중랑구,주소 서울특별시 중랑구 중랑역로3길 46,음식 종류 카페 / 디저트,가격대 만원 미만,2021-08-20,맛있다,1,1.0,0.0,0.0
478,대박왕곱창,,중랑구,주소 서울특별시 중랑구 답십리로 367,음식 종류 고기 요리,가격대 만원-2만원,2022-07-13,맛있다,7,7.0,0.0,0.0
479,참맛깔곱창,,중랑구,주소 서울특별시 중랑구 면목로74길 7,음식 종류 닭 / 오리 요리,가격대 만원 미만,2019-05-13,괜찮다,7,6.0,1.0,0.0
480,거여돈가스,,중랑구,주소 서울특별시 중랑구 송림길 5,음식 종류 기타 한식,가격대 만원 미만,2021-10-16,맛있다,5,4.0,1.0,0.0
481,서박사네곱창,,중랑구,주소 서울특별시 중랑구 망우로62길 15,음식 종류 고기 요리,가격대 만원-2만원,2022-03-26,맛있다,4,4.0,0.0,0.0
482,치어스,,중랑구,주소 서울특별시 중랑구 면목로45길 11,음식 종류 치킨 / 호프 / 펍,가격대 만원-2만원,0,0,0,,,
483,에헴,,중랑구,주소 서울특별시 중랑구 망우로48길 27-12,음식 종류 이자카야 / 오뎅 / 꼬치,가격대 만원-2만원,2021-10-16,괜찮다,6,3.0,3.0,0.0
484,돈대감,,중랑구,주소 서울특별시 중랑구 송림길 1,음식 종류 고기 요리,가격대 만원-2만원,2019-05-31,괜찮다,5,4.0,1.0,0.0
485,스시남,,중랑구,주소 서울특별시 중랑구 중랑역로 261,음식 종류 회 / 스시,가격대 2만원-3만원,2016-05-21,괜찮다,4,0.0,2.0,2.0
486,도씨,,중랑구,주소 서울특별시 중랑구 동일로163길 35 1F,음식 종류 일반 주점,가격대 만원-2만원,2021-03-29,맛있다,3,3.0,0.0,0.0
487,시월애도토리,,중랑구,주소 서울특별시 중랑구 동일로109길 90 대명빌딩,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원 미만,2019-11-02,맛있다,2,2.0,0.0,0.0
488,토리자까나,,중랑구,주소 서울특별시 중랑구 신내로 225 디아뜨갤러리,음식 종류 이자카야 / 오뎅 / 꼬치,가격대 만원-2만원,2015-07-16,괜찮다,2,1.0,1.0,0.0
489,카페 향아,,중랑구,주소 서울특별시 중랑구 사가정로46길 18,가격대 만원 미만,웹 사이트 식당 홈페이지로 가기,2018-11-18,괜찮다,2,1.0,1.0,0.0
490,카페굿업,,중랑구,주소 서울특별시 중랑구 면목로66길 11,음식 종류 카페 / 디저트,가격대 만원 미만,2019-11-04,맛있다,2,1.0,1.0,0.0
491,슈가버터,,중랑구,주소 서울특별시 중랑구 송림길 5 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2021-11-28,맛있다,2,2.0,0.0,0.0
492,어수라생선구이,,중랑구,주소 서울특별시 중랑구 면목로91길 19,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원 미만,0,0,1,1.0,0.0,0.0
493,어썸커피,,중랑구,주소 서울특별시 중랑구 신내로 211 금강리빙스텔,음식 종류 카페 / 디저트,가격대 만원 미만,0,0,2,0.0,2.0,0.0
494,두루두루 베이비카페,,중랑구,주소 서울특별시 중랑구 동일로154길 17,음식 종류 카페 / 디저트,가격대 만원 미만,0,0,1,1.0,0.0,0.0
495,청담,,중랑구,주소 서울특별시 중랑구 중랑역로 82,음식 종류 고기 요리,가격대 만원-2만원,0,0,1,1.0,0.0,0.0
496,꿀삼겹,,중랑구,주소 서울특별시 중랑구 면목로91길 45,음식 종류 고기 요리,가격대 만원-2만원,2019-10-13,맛있다,9,4.0,3.0,2.0
497,데일리파크,,중랑구,주소 서울특별시 중랑구 신내로15길 196,음식 종류 카페 / 디저트,가격대 만원 미만,2017-10-28,별로,7,2.0,4.0,1.0
498,봉화산커피,,중랑구,주소 서울특별시 중랑구 신내로 225 디아뜨갤러리상가 136호,음식 종류 카페 / 디저트,가격대 만원 미만,2021-11-08,맛있다,5,2.0,3.0,0.0
499,오늘그릴,,중랑구,주소 서울특별시 중랑구 봉화산로54길 5,음식 종류 스테이크 / 바베큐,가격대 만원-2만원,2019-03-28,괜찮다,3,2.0,1.0,0.0
500,태능대게하우스,,중랑구,주소 서울특별시 중랑구 동일로 938,음식 종류 해산물 요리,가격대 4만원 이상,2020-08-22,괜찮다,2,1.0,1.0,0.0
501,유정순대,,중랑구,주소 서울특별시 중랑구 면목로37길 42,음식 종류 탕 / 찌개 / 전골,가격대 만원 미만,2017-06-19,맛있다,2,2.0,0.0,0.0
