,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
99,금산제면소,4.2,서울시 중구,주소 서울특별시 중구 소공로6길 13,가격대 만원-2만원,주차 주차공간없음,2022-05-02,맛있다,89,52,18,19
100,부민옥,4.2,서울시 중구,주소 서울특별시 중구 다동길 24-5,음식 종류 탕 / 찌개 / 전골,가격대 만원 미만,2022-07-13,맛있다,68,47,16,5
101,무명스키야키,4.2,서울시 중구,주소 서울특별시 중구 퇴계로87길 30 1F,음식 종류 기타 일식,가격대 2만원-3만원,2022-05-27,별로,35,28,5,2
102,장수보쌈,4.2,서울시 중구,주소 서울특별시 중구 동호로 378,음식 종류 고기 요리,가격대 만원 미만,2021-08-26,맛있다,45,34,7,4
103,다케오호르몬데판야끼,4.2,서울시 중구,주소 서울특별시 중구 을지로12길 14 1F,음식 종류 철판 요리,가격대 만원-2만원,2022-07-13,맛있다,45,25,14,6
104,어라우즈,4.2,서울시 중구,주소 서울특별시 중구 다산로 32,음식 종류 칵테일 / 와인,가격대 2만원-3만원,4 일 전,맛있다,15,13,1,1
105,술다방,4.2,서울시 중구,주소 서울특별시 중구 을지로11길 33 2F,음식 종류 칵테일 / 와인,가격대 2만원-3만원,2022-07-24,맛있다,23,19,4,0
106,스시 소우카이,4.2,서울시 중구,주소 서울특별시 중구 동호로35길 5 B1,음식 종류 회 / 스시,가격대 2만원-3만원,2021-01-21,맛있다,11,10,1,0
107,신세계떡볶이,4.2,서울시 중구,주소 서울특별시 중구 명동9길 8-1,가격대 만원 미만,주차 유료주차 가능,2022-07-03,별로,55,45,5,5
108,타케리아 스탠,4.2,서울시 중구,주소 서울특별시 중구 충무로4길 5 태창빌딩 1F,음식 종류 남미 음식,가격대 만원 미만,2022-06-23,맛있다,25,20,3,2
109,로스트앤파운드,4.2,서울시 중구,주소 서울특별시 중구 충무로4길 5 2F 202호,음식 종류 치킨 / 호프 / 펍,가격대 3만원-4만원,2022-07-31,맛있다,21,17,1,3
110,부타이제2막,4.2,서울시 중구,주소 서울특별시 중구 충무로5길 6-1 1F,음식 종류 라멘 / 소바 / 우동,가격대 만원-2만원,2022-07-12,맛있다,35,26,8,1
111,사마르칸트시티,4.2,서울시 중구,주소 서울특별시 중구 을지로42길 16 2F,음식 종류 세계음식 기타,가격대 만원-2만원,2022-07-08,맛있다,20,15,3,2
112,할아버지손칼국수,4.2,서울시 중구,주소 서울특별시 중구 마장로9길 43-3,가격대 만원 미만,주차 주차공간없음,2022-04-02,맛있다,23,21,1,1
113,국수가좋아,4.2,서울시 중구,주소 서울특별시 중구 퇴계로 423,음식 종류 국수 / 면 요리,가격대 만원 미만,2022-03-31,맛있다,50,41,7,2
114,원흥,4.2,서울시 중구,주소 서울특별시 중구 다동길 46,음식 종류 정통 중식 / 일반 중식,가격대 만원 미만,2022-06-18,맛있다,37,25,11,1
115,The92산들바다,4.2,서울시 중구,주소 서울특별시 중구 퇴계로 398 1F,음식 종류 기타 한식,가격대 만원 미만,2022-05-30,맛있다,20,16,3,1
116,콘부,4.2,서울시 중구,주소 서울특별시 중구 수표로 42-19 1F,음식 종류 이자카야 / 오뎅 / 꼬치,가격대 2만원-3만원,2022-05-27,별로,16,12,3,1
117,다루다,4.2,서울시 중구,주소 서울특별시 중구 다산로 163,음식 종류 고기 요리,가격대 3만원-4만원,2022-01-18,괜찮다,21,16,3,2
118,육통령,4.2,서울시 중구,주소 서울특별시 중구 명동8나길 37-2 1-3F,음식 종류 고기 요리,가격대 만원-2만원,3 일 전,맛있다,25,15,8,2
119,쓰리도어즈,4.2,서울시 중구,주소 서울특별시 중구 삼일대로12길 21,음식 종류 칵테일 / 와인,가격대 2만원-3만원,2022-07-27,괜찮다,23,21,2,0
120,희락,4.2,서울시 중구,주소 서울특별시 중구 남대문시장길 22-6,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원-2만원,21 시간 전,괜찮다,21,12,8,1
121,진고개,4.2,서울시 중구,주소 서울특별시 중구 충무로 19-1,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원-2만원,2022-06-14,맛있다,24,16,6,2
122,온수반,4.2,서울시 중구,주소 서울특별시 중구 퇴계로34길 16-9,음식 종류 베트남 음식,가격대 만원-2만원,2022-06-15,맛있다,18,15,3,0
123,포25,4.2,서울시 중구,주소 서울특별시 중구 퇴계로85길 28,음식 종류 베트남 음식,가격대 만원-2만원,2022-06-07,괜찮다,9,7,2,0
124,을지육점,4.2,서울시 중구,주소 서울특별시 중구 을지로12길 18-1,음식 종류 고기 요리,가격대 만원-2만원,2022-02-07,괜찮다,20,16,4,0
125,도향촌,4.2,서울시 중구,주소 서울특별시 중구 남대문로 52-13 중정도서관빌딩 1F,음식 종류 베이커리,가격대 만원 미만,2022-04-27,맛있다,15,13,1,1
126,한가람,4.2,서울시 중구,주소 서울특별시 중구 남대문로5길 25,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원-2만원,2022-07-21,맛있다,8,7,1,0
127,황성집,4.2,서울시 중구,주소 서울특별시 중구 청파로 447-15,음식 종류 탕 / 찌개 / 전골,가격대 만원 미만,2022-07-29,괜찮다,14,12,2,0
128,을지로 남작,4.2,서울시 중구,주소 서울특별시 중구 을지로14길 16-8 1F,음식 종류 칵테일 / 와인,가격대 3만원-4만원,2022-02-27,맛있다,5,4,1,0
129,밀피유,4.2,서울시 중구,주소 서울특별시 중구 명동9길 17-3 2-3F,음식 종류 기타 한식,가격대 만원-2만원,4 일 전,괜찮다,12,8,3,1
130,레드스타,4.2,서울시 중구,주소 서울특별시 중구 수표로 48-12,음식 종류 퓨전 양식,가격대 2만원-3만원,2022-03-17,맛있다,9,7,2,0
131,옵튼,4.2,서울시 중구,주소 서울특별시 중구 만리재로 205-1,음식 종류 카페 / 디저트,가격대 만원 미만,2022-07-20,맛있다,8,8,0,0
132,맛있는삼겹살,4.2,서울시 중구,주소 서울특별시 중구 남대문시장길 37,음식 종류 고기 요리,가격대 만원-2만원,2022-06-10,맛있다,5,4,1,0
133,이나니와요스케,4.1,서울시 중구,주소 서울특별시 중구 을지로 6,음식 종류 라멘 / 소바 / 우동,가격대 만원-2만원,6 일 전,괜찮다,184,110,57,17
134,브레라,4.1,서울시 중구,주소 서울특별시 중구 동호로17길 295 대영빌딩 1F,음식 종류 이탈리안,가격대 2만원-3만원,4 일 전,맛있다,120,80,32,8
135,란주칼면,4.1,서울시 중구,주소 서울특별시 중구 소공로 64 동남빌딩,음식 종류 정통 중식 / 일반 중식,가격대 만원-2만원,2022-06-14,맛있다,160,93,51,16
136,경일옥핏제리아,4.1,서울시 중구,주소 서울특별시 중구 을지로16길 2-1,음식 종류 이탈리안,가격대 2만원-3만원,2022-07-29,별로,81,51,14,16
137,라세느,4.1,서울시 중구,주소 서울특별시 중구 남대문로 81 롯데호텔서울 본관 1F,음식 종류 뷔페,가격대 4만원 이상,2022-08-01,별로,117,85,28,4
138,동원집,4.1,서울시 중구,주소 서울특별시 중구 퇴계로27길 48,음식 종류 탕 / 찌개 / 전골,가격대 만원-2만원,2022-06-23,별로,144,86,31,27
139,덕수궁리에제와플,4.1,서울시 중구,주소 서울특별시 중구 덕수궁길 5,음식 종류 카페 / 디저트,가격대 만원 미만,2022-07-31,괜찮다,156,108,36,12
140,팔선,4.1,서울시 중구,주소 서울특별시 중구 동호로 249 서울신라호텔 2F,음식 종류 정통 중식 / 일반 중식,가격대 4만원 이상,2022-07-19,맛있다,47,39,7,1
141,호랑이,4.1,서울시 중구,주소 서울특별시 중구 을지로 157 세운대림상가 3F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-07-24,괜찮다,93,57,25,11
142,진남포면옥,4.1,서울시 중구,주소 서울특별시 중구 다산로 108,음식 종류 기타 한식,가격대 만원-2만원,2022-07-29,맛있다,68,51,14,3
143,충무집,4.1,서울시 중구,주소 서울특별시 중구 을지로3길 30-14,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원-2만원,2022-05-11,맛있다,34,27,5,2
144,하동관,4.1,서울시 중구,주소 서울특별시 중구 명동9길 12,음식 종류 탕 / 찌개 / 전골,가격대 만원-2만원,2022-06-15,맛있다,247,154,62,31
145,조선옥,4.1,서울시 중구,주소 서울특별시 중구 을지로15길 6-5,음식 종류 고기 요리,가격대 3만원-4만원,2022-05-28,맛있다,53,37,11,5
146,호경전,4.1,서울시 중구,주소 서울특별시 중구 소공로 63 신세계백화점 본점 5F,음식 종류 정통 중식 / 일반 중식,가격대 2만원-3만원,2022-06-24,맛있다,51,38,8,5
147,마크 다모르,4.1,서울시 중구,주소 서울특별시 중구 퇴계로 67 26F,음식 종류 칵테일 / 와인,가격대 2만원-3만원,2022-07-06,괜찮다,23,16,6,1
148,오카구라,4.1,서울시 중구,주소 서울특별시 중구 을지로11길 26-5,음식 종류 라멘 / 소바 / 우동,가격대 만원 미만,2022-07-31,맛있다,26,15,9,2
149,그랜드키친,4.1,서울시 중구,주소 서울특별시 중구 명동길 61 로얄 호텔 서울 21F,음식 종류 이탈리안,가격대 4만원 이상,2022-06-30,맛있다,11,7,2,2
150,약수순대국,4.1,서울시 중구,주소 서울특별시 중구 다산로8길 7,음식 종류 탕 / 찌개 / 전골,가격대 만원-2만원,2022-07-30,맛있다,39,26,12,1
151,영양센터,4.1,서울시 중구,주소 서울특별시 중구 명동2길 52 대용빌딩,음식 종류 탕 / 찌개 / 전골,가격대 만원-2만원,2022-06-27,맛있다,40,28,10,2
152,해룡마라룽샤,4.1,서울시 중구,주소 서울특별시 중구 을지로41길 28 임성빌딩 3F,음식 종류 기타 중식,가격대 만원-2만원,2022-03-15,맛있다,23,18,3,2
