,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
66,미학당,3.9,동작구,주소 서울특별시 동작구 사당로 56 2F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-06-17,맛있다,25,23,2,0
67,빈빈양꼬치,3.9,동작구,주소 서울특별시 동작구 남부순환로271길 31,음식 종류 기타 중식,가격대 만원-2만원,2022-01-29,맛있다,14,12,1,1
68,블랑제리꾸끄,3.9,동작구,주소 서울특별시 동작구 만양로 37,음식 종류 베이커리,가격대 만원 미만,2021-10-19,맛있다,20,18,2,0
69,사당모소리,3.9,동작구,주소 서울특별시 동작구 사당로 243-5 1F,음식 종류 고기 요리,가격대 만원-2만원,2022-07-31,괜찮다,12,9,3,0
70,투디카페,3.9,동작구,주소 서울특별시 동작구 상도로 285,음식 종류 카페 / 디저트,가격대 만원 미만,2020-10-21,괜찮다,19,17,1,1
71,블랑제리가마,3.9,동작구,주소 서울특별시 동작구 사당로13길 31 두산위브트레지움상가 8-2호,음식 종류 베이커리,가격대 만원 미만,2022-04-05,맛있다,12,8,3,1
72,뚜스뚜스,3.9,동작구,주소 서울특별시 동작구 현충로 75 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-07-16,맛있다,10,8,1,1
73,클라소피,3.9,동작구,주소 서울특별시 동작구 여의대방로22길 94 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-07-21,맛있다,8,7,1,0
74,카페브르브르,3.9,동작구,주소 서울특별시 동작구 사당로29가길 6,가격대 만원 미만,주차 무료주차 가능,2022-02-06,괜찮다,13,10,3,0
75,신사,3.9,동작구,주소 서울특별시 동작구 동작대로 129 이호빌딩 4F,음식 종류 치킨 / 호프 / 펍,가격대 만원-2만원,2022-06-02,맛있다,17,10,3,4
76,양자호떡,3.9,동작구,주소 서울특별시 동작구 만양로 88,음식 종류 카페 / 디저트,가격대 만원 미만,2022-04-15,맛있다,16,10,5,1
77,바야흐로,3.9,동작구,주소 서울특별시 동작구 현충로 102,음식 종류 치킨 / 호프 / 펍,가격대 만원-2만원,2022-02-23,맛있다,13,10,1,2
78,케이크무드,3.9,동작구,주소 서울특별시 동작구 상도로15길 45 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-04-29,맛있다,13,9,4,0
79,즉석바지락손칼국수,3.9,동작구,주소 서울특별시 동작구 상도로 77,음식 종류 국수 / 면 요리,가격대 만원 미만,2022-01-29,맛있다,32,24,8,0
80,당진수산,3.9,동작구,주소 서울특별시 동작구 노들로 674,음식 종류 해산물 요리,가격대 만원-2만원,2021-02-21,맛있다,15,9,4,2
81,더코네,3.9,동작구,주소 서울특별시 동작구 상도로61길 23 2F,음식 종류 기타 한식,가격대 만원 미만,2021-05-27,맛있다,8,6,2,0
82,진상천,3.9,동작구,주소 서울특별시 동작구 흑석로 101-7 2F,음식 종류 정통 중식 / 일반 중식,가격대 만원 미만,2021-12-16,맛있다,9,7,1,1
83,케이크팝,3.9,동작구,주소 서울특별시 동작구 사당로 28 2F,음식 종류 카페 / 디저트,가격대 만원 미만,2021-04-28,괜찮다,10,7,2,1
84,경성모밀,3.9,동작구,주소 서울특별시 동작구 동작대로29가길 6,음식 종류 국수 / 면 요리,가격대 만원 미만,2021-06-27,괜찮다,9,6,3,0
85,머치커피,3.9,동작구,주소 서울특별시 동작구 동작대로9길 43,음식 종류 카페 / 디저트,가격대 만원 미만,2022-08-03,괜찮다,8,5,3,0
86,조가네갑오징어,3.9,동작구,주소 서울특별시 동작구 남부순환로271길 24 1F,음식 종류 고기 요리,가격대 2만원-3만원,2022-06-28,맛있다,6,6,0,0
87,은희네온집닭떡볶이,3.9,동작구,주소 서울특별시 동작구 상도로41길 35 1F,음식 종류 기타 한식,가격대 만원-2만원,2022-07-06,괜찮다,6,3,3,0
88,미스피츠,3.8,동작구,주소 서울특별시 동작구 동작대로3길 30 1F,음식 종류 브런치 / 버거 / 샌드위치,가격대 만원 미만,2022-06-28,맛있다,34,24,10,0
89,오가네팬케이크,3.8,동작구,주소 서울특별시 동작구 노량진로 187,가격대 만원 미만,주차 주차공간없음,2022-06-15,괜찮다,48,28,18,2
90,칠기마라탕,3.8,동작구,주소 서울특별시 동작구 흑석로 89 2F,음식 종류 기타 중식,가격대 만원 미만,2022-06-25,맛있다,27,17,7,3
91,꿀꾸랄라,3.8,동작구,주소 서울특별시 동작구 만양로14길 4-1,음식 종류 고기 요리,가격대 만원 미만,2022-07-05,괜찮다,17,12,4,1
92,월하당,3.8,동작구,주소 서울특별시 동작구 사당로8길 32 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2021-03-05,괜찮다,10,7,2,1
93,마왕족발,3.8,동작구,주소 서울특별시 동작구 동작대로25길 43,음식 종류 고기 요리,가격대 만원-2만원,2021-11-17,맛있다,21,19,2,0
94,막걸리학교,3.8,동작구,주소 서울특별시 동작구 동작대로25길 41,음식 종류 전통 주점 / 포차,가격대 만원 미만,2021-12-17,맛있다,12,10,2,0
95,디피스트,3.8,동작구,주소 서울특별시 동작구 동작대로27길 31 2F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-01-03,별로,13,11,1,1
96,피자보이시나,3.8,동작구,주소 서울특별시 동작구 흑석로9길 6,음식 종류 이탈리안,가격대 만원-2만원,2022-04-06,맛있다,21,16,4,1
97,닭발집,3.8,동작구,주소 서울특별시 동작구 장승배기로 123-1,음식 종류 닭 / 오리 요리,가격대 만원 미만,2021-09-24,맛있다,17,14,2,1
